role,company_name,hiring_badge,location,duration,stipend_perMonth,skills
Intern Onboarding Officer,Ozibook Tech Solutions Private Limited,Actively hiring,Work from home,3 Months,"1,000","Communication, Teamwork"
Content Designer,Ozibook Tech Solutions Private Limited,Actively hiring,Work from home,3 Months,"1,000","Graphic Design, Photoshop, Illustrator"
Illustration,Ozibook Tech Solutions Private Limited,Actively hiring,Work from home,3 Months,"1,000","Communication, Teamwork"
Business Development (Sales),Stirring Minds,Actively hiring,Delhi,3 Months,"7,000","Sales, Negotiation, Business Strategy"
Sales,Flying Pigeon Solutions,Actively hiring,Jaipur,6 Weeks," 4,000-8,000 ","Sales, Negotiation, CRM"
UI/UX Design,Ozibook Tech Solutions Private Limited,Actively hiring,Work from home,3 Months,"1,000","Figma, Wireframing, Prototyping"
Telecalling,Flying Pigeon Solutions,Actively hiring,Jaipur,3 Months," 7,000-10,000 ","Communication, Sales, Customer Handling"
Event Management,Event University,Actively hiring,Delhi,4 Months," 10,000-12,500 ","Communication, Teamwork"
Search Engine Optimization (SEO),OutreachMani,Actively hiring,Jaipur,3 Months,"10,000","SEO, Google Analytics, Keyword Research"
Telecalling,AppVersal,Actively hiring,Noida,3 Months,"10,000","Communication, Sales, Customer Handling"
Business Development (Sales),EasyInsights,Actively hiring,Delhi,6 Months," 10,000  +  Incentives","Sales, Negotiation, Business Strategy"
Digital Marketing,OutreachMani,Actively hiring,Jaipur,3 Months,"10,000","SEO, Google Ads, Social Media Marketing"
Inside Sales,Isourse,Actively hiring,Delhi,6 Months,"25,000","Sales, Negotiation, CRM"
Youtube SEO Expert,Flying Pigeon Solutions,Actively hiring,Jaipur,2 Months," 6,000-10,000 ","SEO, Google Analytics, Keyword Research"
Brand Aquisition,Medonomy,Actively hiring,Noida,6 Months," 10,000-20,000 ","Marketing Strategy, Branding, Communication"
Business Development,Tripple One Solutions,Actively hiring,Noida,3 Months," 15,000-25,000 ","Sales, Negotiation, Business Strategy"
Human Resources (HR),Ozibook Tech Solutions Private Limited,Actively hiring,Work from home,3 Months,"1,000","Recruitment, HR Management, Communication"
Front Office Executive,Sonam  Geda,Actively hiring,Indore,3 Months," 7,000-10,000 ","Communication, Teamwork"
Performance Marketing,Flying Pigeon Solutions,Actively hiring,Jaipur,2 Months," 8,000-12,000 ","Marketing Strategy, Communication, Market Research"
