role,company_name,hiring_badge,location,duration,stipend_perMonth,skills
Project Management,Fyn Mobility,Not hiring,Bangalore,3 Months,"10,000","Project Management, MS Project, Leadership"
Full Stack Development,KANRIS Infotech Private Limited,Not hiring,Dombivli,6 Months," 5,000-10,000 ","React,Node,Express,Next,SQL"
.NET Development,AdroApex Multi Services,Not hiring,Work from home,2 Months," 2,000 lump sum +  Incentives","C#,ASP.NET,SQL"
Digital Marketing,Perseverance Enterprise,Not hiring,Work from home,3 Months,"2,000","SEO, Google Ads, Social Media Marketing"
Marketing,The Spark Exhibition,Not hiring,Work from home,3 Months," 2,000  +  Incentives","Marketing Strategy, Communication, Market Research"
Digital Marketing,Space Life Store,Not hiring,Work from home,4 Months,"11,000","SEO, Google Ads, Social Media Marketing"
UI/UX Design,Idea Usher,Actively hiring,Work from home,6 Months," 8,000-12,000 ","Figma, Wireframing, Prototyping"
Video Editing/Making,The Yellow Strawberry,Not hiring,Navi Mumbai,6 Months," 7,000-10,000 ","Video Editing, Premiere Pro, After Effects"
Business Development (Sales),Cube Consultancy Services,Not hiring,Work from home,3 Months," 3,000  +  Incentives","Sales, Negotiation, Business Strategy"
Social Media Marketing,Astrosia,Not hiring,Work from home,3 Months," 1,000  +  Incentives","Marketing Strategy, Communication, Market Research"
E-Commerce Management,OPTIMUS SELLERS,Not hiring,Coimbatore,3 Months,"8,000","Communication, Teamwork"
Senior Graphic Design,Digital Ipsum,Actively hiring,Work from home,6 Months,"25,000","Graphic Design, Photoshop, Illustrator"
Advertising Poster,Dhruvaashi Software & Technology (OPC) Private Limited,Actively hiring,Work from home,1 Month,"3,000","Communication, Teamwork"
Search Engine Optimization (SEO),Tripocio Carnival Pvt Ltd,Not hiring,Indore,3 Months,"3,000","SEO, Google Analytics, Keyword Research"
Creative Design,Insure Pro 2.0,Not hiring,Work from home,3 Months,"10,000","Graphic Design, Photoshop, Illustrator"
Social Media Marketing,WinX Services,Not hiring,Work from home,6 Months," 1,000  +  Incentives","Marketing Strategy, Communication, Market Research"
Social Media Marketing,Sole Weavers,Not hiring,"Thane, Mumbai",3 Months,"10,000","Marketing Strategy, Communication, Market Research"
Content Writing,Sumcircle Technologies Private Limited,Not hiring,Mumbai,6 Months,"3,000","Content Writing, Editing, SEO"
Social Media Marketing,Tulot Tech Labs,Not hiring,Work from home,3 Months," 6,000-8,000 ","Marketing Strategy, Communication, Market Research"
Digital Marketing,RenB Digital,Not hiring,Work from home,3 Months,"5,000","SEO, Google Ads, Social Media Marketing"
Business Development (Sales),All India Media Solutions,Not hiring,Gurgaon,6 Months,"10,000","Sales, Negotiation, Business Strategy"
Digital Marketing,Keycept,Not hiring,Mumbai,6 Months," 8,000-12,000 ","SEO, Google Ads, Social Media Marketing"
Cyber Security Compliance Associate,Securis360,Not hiring,Ahmedabad,3 Months," 4,000-8,000 ","Cyber Security, Networking, Ethical Hacking"
E-Commerce Marketing,Idam Natural Wellness Private Limited,Not hiring,Gurgaon,3 Months,"15,000","Marketing Strategy, Communication, Market Research"
Sales,Indian Cyber Security Solutions,Not hiring,"Kolkata, Bangalore                                                            (Hybrid)",3 Months,"5,000","Sales, Negotiation, CRM"
Business Growth,Skooltag,Not hiring,Delhi,3 Months,"10,000","Sales, Negotiation, Business Strategy"
Business Development (Sales),The Wise Idiot,Not hiring,Mumbai                                                            (Hybrid),2 Months," 5,000-8,000 ","Sales, Negotiation, Business Strategy"
Product Marketing,Wayspire Edtech Private Limited,Actively hiring,Work from home,1 Month," 1,500-5,000 ","Marketing Strategy, Communication, Market Research"
Business Development (Sales),Accountant Bazaar,Not hiring,"Thane, Mumbai                                                            (Hybrid)",6 Months," 10,000  +  Incentives","Sales, Negotiation, Business Strategy"
Customer Service/Customer Support,Giggling Gifts,Not hiring,Work from home,6 Months,"2,000","Communication, Teamwork"
Content Writer,AstaGuru Auction House Private Limited,Not hiring,Mumbai,3 Months,"10,000","Writing, SEO, Research"
Social Media Manager,Unhooked,Not hiring,Work from home,3 Months,"1,000","Social Media, Content Creation, Analytics"
Assistant,Arpit Jain,Not hiring,Kolkata,2 Months,"5,000","Coordination, Communication, MS Office"
Telecalling,InnoThoughts,Not hiring,Pune,6 Months,"7,000","Communication, Sales, Customer Handling"
Graphic Design,NotInLine Technologies Private Limited,Not hiring,"Bangalore, Mumbai                                                            (Hybrid)",2 Months,"5,000","Graphic Design, Photoshop, Illustrator"
Software Development,Tecknotrove Systems (I) Private Limited,Not hiring,Vapi,6 Months,"15,000","Communication, Teamwork"
QA Testing,Vistaar Digital Communications Private Limited,Not hiring,Mumbai,3 Months,"8,000","Jira,selenium,Appium"
Graphic Design,Pierret India,Not hiring,Work from home,3 Months,"5,000","Graphic Design, Photoshop, Illustrator"
Backend Development,NocodeAssistant,Not hiring,Work from home,6 Months,"10,000","Communication, Teamwork"
Client Servicing,Knowledge Source Private Limited.,Not hiring,Mumbai,1 Month," 15,000  +  Incentives","Communication, Teamwork"
Operations,Couriero,Not hiring,Jaipur,3 Months,"5,000","Operations Management, Coordination, MS Excel"
Campus Ambassador,Al-connect,Not hiring,Work from home,2 Months,Performance Based,"Marketing, Networking, Event Promotion"
Business Development (Sales),NextZenAcademy,Not hiring,Work from home,3 Months," 2,000  +  Incentives","Sales, Negotiation, Business Strategy"
Content Writing,Great Learning,Actively hiring,Work from home,4 Months,"15,000","Content Writing, Editing, SEO"
Social Media Marketing,SBBR Technologies Pvt. Ltd.,Not hiring,Noida,6 Months,"7,000","Marketing Strategy, Communication, Market Research"
Search Engine Optimization (SEO),Pem Tshering Sherpa,Not hiring,Work from home,6 Months, 500 /week +  Incentives,"SEO, Google Analytics, Keyword Research"
Video Editing/Making,Ananta Chhajer,Not hiring,Work from home,1 Month," 1,000  +  Incentives","Video Editing, Premiere Pro, After Effects"
Telecalling (Calling For E-commerce Orders Confirmation),Shyam Sac,Actively hiring,Work from home,6 Months,"5,500","Communication, Sales, Customer Handling"
Business Development (Sales),Kartik Arora,Not hiring,Work from home,2 Months,"1,500","Sales, Negotiation, Business Strategy"
Digital Marketing,PULSECRAFTS SOLUTIONS PRIVATE LIMITED,Not hiring,Work from home,3 Months,"3,000","SEO, Google Ads, Social Media Marketing"
Full Stack Development,CodeInterns,Actively hiring,Work from home,1 Month,"1,000","React,Node,Express,Next,SQL"
Social Media Marketing,Digital Ipsum,Actively hiring,Work from home,6 Months,"10,000","Marketing Strategy, Communication, Market Research"
Creative Writing,Digital Ipsum,Actively hiring,Work from home,6 Months,"10,000","Communication, Teamwork"
Search Engine Optimization (SEO),Vikas Kumar,Not hiring,Faridabad                                                            (Hybrid),3 Months," 3,000-5,000 ","SEO, Google Analytics, Keyword Research"
Mobile App Development,Start10x,Not hiring,Gurgaon,2 Months,"15,000","Android, Kotlin, Java"
Video Editing/Making,Pankaj Verma,Not hiring,Work from home,1 Month,"2,000","Video Editing, Premiere Pro, After Effects"
Business Development (Sales),Perfect Architecture And Design Studio,Not hiring,"Ballari, Koppal, Raichur, Chitradurga, Kolar, Mandya, Yadgir, Udupi, Shivamogga, Gulbarga, Ramanagar, Chikmagalur, Bidar",2 Months," 15,000  +  Incentives","Sales, Negotiation, Business Strategy"
Human Resources (HR),Digital Ipsum,Actively hiring,Work from home,6 Months,"10,000","Recruitment, HR Management, Communication"
Content Writing,SurePass Technologies Private Limited,Not hiring,Delhi,6 Months,"10,000","Content Writing, Editing, SEO"
Business Development (Sales),Crossroads Helpline,Not hiring,Work from home,3 Months,"5,000","Sales, Negotiation, Business Strategy"
Field Sales,Pooja Srinivas,Not hiring,Bangalore                                                            (Hybrid),3 Months," 12,000  +  Incentives","Sales, Negotiation, CRM"
SQL DEVELOPER,CodeInterns,Actively hiring,Work from home,1 Month,"1,000","SQL,python"
Python Development,CodeInterns,Actively hiring,Work from home,1 Month,"1,000","Python,Django,SQL"
Social Media Marketing,Aagam Digitals,Not hiring,Pune,6 Months," 3,000-7,000 ","Marketing Strategy, Communication, Market Research"
Business Development (Sales),Safia Dawoos,Not hiring,Bangalore,4 Weeks," 5,000  +  Incentives","Sales, Negotiation, Business Strategy"
Social Media Marketing,Raed India,Not hiring,Work from home,1 Month,Unpaid,"Marketing Strategy, Communication, Market Research"
Product Marketing,"Lotus AI (Los Angeles, United States)",Actively hiring,Work from home,3 Months," 10,000-1,00,000 ","Marketing Strategy, Communication, Market Research"
Python/Django Developer,AppVersal,Actively hiring,Noida,3 Months,"10,000","Communication, Teamwork"
MS Excel Expert,Flying Pigeon Solutions,Actively hiring,Work from home,2 Months," 3,000-6,000 ","Communication, Teamwork"
Video Editor (YouTube Long-Videos),Candidscape,Not hiring,Work from home,3 Months,"4,000","Video Editing, Premiere Pro, After Effects"
Software Testing,Peoplebox,Actively hiring,Bangalore,3 Months,"15,000","Jenkins,Agile,Scrum"
Content Writer,AntWalk,Actively hiring,Work from home,6 Months," 10,000-15,000 ","Writing, SEO, Research"
Subject Matter Expert (Biology),Kunduz Technologies,Actively hiring,Work from home,3 Months," 5,000-6,000 ","Communication, Teamwork"
Machine Learning,CodeInterns,Actively hiring,Work from home,1 Month,"1,000","Python, Neural Networks,R"
Business Development (Sales),91Squarefeet,Not hiring,Gurgaon,3 Months,"20,000","Sales, Negotiation, Business Strategy"
Digital Marketing,Upavana Gardens Private Limited,Not hiring,Work from home,3 Months," 2,000-5,000 ","SEO, Google Ads, Social Media Marketing"
Cyber Security,CodeInterns,Actively hiring,Work from home,1 Month,"1,000","Cyber Security, Networking, Ethical Hacking"
Java Development,CodeInterns,Actively hiring,Work from home,1 Month,"1,000","springboot, JPA, Maven"
Digital Marketing,SmartHire,Not hiring,Work from home,2 Months," 3,000  +  Incentives","SEO, Google Ads, Social Media Marketing"
Social Media Marketing,Ministitch,Not hiring,Mumbai                                                            (Hybrid),3 Months," 10,000-15,000 ","Marketing Strategy, Communication, Market Research"
Asp.net Development,HappSales Private Limited,Not hiring,Work from home,3 Months," 9,000-15,000 ","Communication, Teamwork"
Project Management,SkillCase,Not hiring,Bangalore,3 Months," 7,000-10,000 ","Project Management, MS Project, Leadership"
Market Research,Ingenious ConTech Solutions Private Limited,Not hiring,Work from home,1 Month," 1,000 /week +  Incentives","Research, Analysis, Report Writing"
Chartered Accountancy (CA),Teena Jain,Not hiring,Mumbai,6 Months,"4,000","Communication, Teamwork"
Business to Consumer,Acies Consulting LLP,Not hiring,Panaji,6 Months,"20,000","Sales, Negotiation, Business Strategy"
Graphic Design,Darzata,Not hiring,Work from home,1 Month," 1,500  +  Incentives","Graphic Design, Photoshop, Illustrator"
Executive Assistant (Virtual),Woro Media,Not hiring,Work from home,6 Months,"4,000","Coordination, Communication, MS Office"
UI/UX Design,Austrax Technologies India Pvt Ltd,Not hiring,Pune,6 Months,"12,000","Figma, Wireframing, Prototyping"
Data Science,Textraja,Actively hiring,Work from home,2 Months,"6,000","Python, SQL, Data Analysis"
Data Science,CodeInterns,Actively hiring,Work from home,1 Month,"1,000","Python, SQL, Data Analysis"
Front End Development,CodeInterns,Actively hiring,Work from home,1 Month,"1,000","Communication, Teamwork"
E-Commerce Marketing,Worxstax Solutions Private Limited,Not hiring,Bangalore,6 Months," 8,000-14,000 ","Marketing Strategy, Communication, Market Research"
Project Associate,Techworth Technologies Private Limited,Not hiring,Kolkata                                                            (Hybrid),3 Months,"5,000","Project Management, MS Project, Leadership"
Business Development (Sales),Outshade Digital Media,Not hiring,"Secunderabad, Hyderabad",2 Months,"10,000","Sales, Negotiation, Business Strategy"
Human Resources (HR),Hostnetindia,Not hiring,Jaipur,6 Months,"5,000","Recruitment, HR Management, Communication"
Digital Marketing,Digics Private Limited,Not hiring,"Ghaziabad, Noida, Delhi, Ramprastha, Vasundhra, Shahadra",6 Months,"8,000","SEO, Google Ads, Social Media Marketing"
Social Media Marketing,Kay Kay Label,Not hiring,Gurgaon                                                            (Hybrid),6 Months,"5,000","Marketing Strategy, Communication, Market Research"
Accounting & Bookkeeping,First Care Medicos,Not hiring,Delhi,1 Month,"4,000","Accounting, Tally, Excel"
Search Engine Optimization (SEO),Eubrics,Not hiring,Work from home,3 Months," 6,000  +  Incentives","SEO, Google Analytics, Keyword Research"
Human Resources (HR),Syngenta Foundation India,Not hiring,Pune,6 Months," 18,000-20,000 ","Recruitment, HR Management, Communication"
Data Entry,Immabeme Solutions Private Limited,Not hiring,Noida,6 Months,"5,000","Excel,python,SQL"
Accounting & Bookkeeping,SHREEJI AND ASSOCIATES,Not hiring,Delhi                                                            (Hybrid),6 Months," 5,000  +  Incentives","Accounting, Tally, Excel"
1 Week Fundraising,She Can Foundation,Actively hiring,Work from home,1 Week,20% of Total Amount Raised,"Communication, Teamwork"
Social Entrepreneurship,She Can Foundation,Actively hiring,Work from home,1 Month,20% of Total Funds Raised,"Leadership, Innovation, Social Impact"
Business Development (Sales),s,Actively hiring,"Dehradun, Haridwar",2 Months,"8,000","Sales, Negotiation, Business Strategy"
Marketing,BROTHERS SERVICES,Not hiring,"Aurangabad, Bhilai, Dhanbad, Jabalpur, Indore, Pune, Ranchi, Solapur, Bhopal, Mumbai, Raipur, Nagpur, Nashik, Gwalior West                                                            (Hybrid)",6 Months," 12,000  +  Incentives","Marketing Strategy, Communication, Market Research"
Front End Development,Faclon,Actively hiring,Work from home,3 Months," 8,000-12,000 ","Communication, Teamwork"
Web Development,Flying Pigeon Solutions,Actively hiring,Jaipur,2 Months," 4,000-7,000 ","HTML,css,react,node,express, mongoDB"
Recruitment,Prodigy Hunters,Not hiring,Bangalore,3 Months,"3,000","Communication, Teamwork"
Content & E-Commerce Management,V M Jewellery,Not hiring,Mumbai,3 Months," 8,000-10,000 ","Content Writing, Editing, SEO"
Social Media Marketing,Veera Luxury,Not hiring,Mumbai,3 Months," 8,000-10,000 ","Marketing Strategy, Communication, Market Research"
Business Development (Sales),Hala Design,Not hiring,Work from home,6 Months," 5,000-15,000 ","Sales, Negotiation, Business Strategy"
CAD Design,Exhilar Innovative Solutions Private Limited,Not hiring,Chennai,2 Months,"10,000","Graphic Design, Photoshop, Illustrator"
Field Sales,Atrity Info Solutions Private Limited,Not hiring,Chennai,6 Months,"10,000","Sales, Negotiation, CRM"
Digital Marketing,Coherent Market Insights Private Limited,Not hiring,Pune,3 Months,"5,000","SEO, Google Ads, Social Media Marketing"
Social Media Marketing,Pixxcel,Not hiring,Jaipur,3 Months," 5,000-10,000 ","Marketing Strategy, Communication, Market Research"
Finance,Raghu Kumar,Not hiring,Bangalore,3 Months,"10,000","Excel, Financial Analysis, Accounting"
Human Resources (HR),Blue Pearl Health Tech Pvt. Ltd.,Not hiring,Pune,6 Months,"8,000","Recruitment, HR Management, Communication"
Social Media Marketing,House Of Muher,Not hiring,Work from home,6 Months,"2,000","Marketing Strategy, Communication, Market Research"
Graphic Design,Konark SolarTech Solutions,Not hiring,Pune,6 Months,"7,000","Graphic Design, Photoshop, Illustrator"
Sales,Get Structured Consulting Services OPC Private Limited,Not hiring,Mumbai,6 Months," 25,000-30,000 ","Sales, Negotiation, CRM"
Telecalling,Pro Events Academy,Not hiring,Pune,4 Months," 8,000-12,000 ","Communication, Sales, Customer Handling"
Sales,Cultfit Healthcare Private Limited,Actively hiring,Hyderabad,2 Months,"18,000","Sales, Negotiation, CRM"
Dot Net Core Developer,Asharp Infotech Private Limited,Not hiring,Delhi                                                            (Hybrid),2 Months,"5,000","Communication, Teamwork"
Video Editing/Making,Sorted Square Coworking Private Limited,Not hiring,Work from home,2 Months,"5,000","Video Editing, Premiere Pro, After Effects"
Search Engine Optimization (SEO),Techcanvass,Actively hiring,Work from home,6 Months,"10,000","SEO, Google Analytics, Keyword Research"
Video Editing/Making,Nutrabay,Not hiring,Gurgaon,6 Months,"15,000","Video Editing, Premiere Pro, After Effects"
Game Development,MentorBoxx,Actively hiring,"Amritsar, Aurangabad, Chandigarh, Delhi, Ghaziabad, Gurgaon, Patiala, Pune, Mumbai, Pimpri-Chinchwad, Noida, Raipur, Nagpur, Nashik",2 Months,"20,000","C,unity,blender"
Process Executive,Quess Corp Limited,Not hiring,Jaipur,6 Months,"9,000","Communication, Teamwork"
Data Entry,MentorBoxx,Actively hiring,Work from home,2 Months," 8,000-12,000 ","Excel,python,SQL"
Digital Marketing,MentorBoxx,Actively hiring,"Chennai, Coimbatore, Delhi, Gurgaon, Lucknow, Patna, Pune, Ranchi, Bangalore, Hyderabad, Mumbai, Varanasi, Jaipur, Noida, Andhra Tharhi",2 Months,"18,000","SEO, Google Ads, Social Media Marketing"
Business Development (Sales),MentorBoxx,Actively hiring,"Aurangabad, Chennai, Delhi, Indore, Patna, Pune, Ahmednagar, Bangalore, Hyderabad, Bhopal, Mumbai, Noida, Nashik, Gwalior West, Andhra Pradesh",2 Months," 15,000-20,000 ","Sales, Negotiation, Business Strategy"
Human Resources (HR),MentorBoxx,Actively hiring,Work from home,2 Months,"18,000","Recruitment, HR Management, Communication"
Social Media Marketing,MentorBoxx,Actively hiring,"Faridabad, Delhi, Ghaziabad, Guwahati, Gurgaon, Kolkata, Lucknow, Siliguri, Shimla, Darjeeling, Bangalore, Kochi, Noida, Prayagraj, Sikkim",2 Months,"15,000","Marketing Strategy, Communication, Market Research"
Marketing,MentorBoxx,Actively hiring,"Aurangabad, Chennai, Guwahati, Indore, Kolkata, Pune, Siliguri, Shimla, Bangalore, Hyderabad, Bhopal, Mumbai, Raipur, Nagpur, Nashik",2 Months,"20,000","Marketing Strategy, Communication, Market Research"
Data Science,MentorBoxx,Actively hiring,Work from home,1 Month,"18,000","Python, SQL, Data Analysis"
Business Analytics,MentorBoxx,Actively hiring,"Ahmedabad, Chandigarh, Chennai, Delhi, Gurgaon, Indore, Kolkata, Pune, Bangalore, Hyderabad, Bhopal, Mumbai, Jaipur, Noida, Bhopalgarh",1 Month,"18,000","Sales, Negotiation, Business Strategy"
Graphic Design,MentorBoxx,Actively hiring,"Ahmedabad, Akola, Aurangabad, Pune, Amravati, Ahmednagar, Mumbai, Pimpri-Chinchwad, Baramati, Nagpur, Nashik",2 Months,"15,000","Graphic Design, Photoshop, Illustrator"
Social Media Outreach,HomeAbroad Inc.,Not hiring,Work from home,3 Months,"8,000","Social Media, Content Creation, Analytics"
Photography And Videography,Huddle Media,Not hiring,Mumbai,6 Months,"5,000","Video Editing, Premiere Pro, After Effects"
Hotel Management,Happy Foods Group,Not hiring,Bangalore,5 Months,"8,000","Communication, Teamwork"
Business Development (Sales),ARYCO Properties Private Limited,Not hiring,Hyderabad,3 Months,"8,000","Sales, Negotiation, Business Strategy"
Web Development,Praanha,Not hiring,Work from home,3 Months," 5,500-7,500 ","HTML,css,react,node,express,mongoDB"
Sales,BINACONF INDIA PVT.LTD,Not hiring,Work from home,4 Months,"10,000","Sales, Negotiation, CRM"
Sales And Marketing,Flosil Group Of Companies,Not hiring,Chennai,1 Month," 2,000  +  Incentives","Sales, Negotiation, CRM"
Documentation,Swasti,Not hiring,"Bangalore, Delhi                                                            (Hybrid)",6 Months," 5,000-10,000 ","Communication, Teamwork"
Social Media Marketing,Twice The Impact PM,Not hiring,Work from home,6 Months," 2,000-5,000 ","Marketing Strategy, Communication, Market Research"
Social Media Marketing,Cannibals Media Pvt. Ltd.,Actively hiring,Work from home,1 Month,"3,000","Marketing Strategy, Communication, Market Research"
Business Development (Sales),Padma Food Products,Not hiring,Bangalore,3 Months,"8,000","Sales, Negotiation, Business Strategy"
Social Media Marketing,Neopulse Energy Private Limited,Actively hiring,Work from home,4 Months," 5,000-10,000 ","Marketing Strategy, Communication, Market Research"
Human Resources (HR),Gera Developments Private Limited,Not hiring,Pune,6 Months," 15,000-18,000 ","Recruitment, HR Management, Communication"
YouTube Hindi Scriptwriter (Gaming & Entertainment),Brown Collab,Not hiring,Work from home,3 Months,"8,000","Writing, SEO, Research"
E-commerce Operations,GOAT Brand Labs,Not hiring,Gurgaon,2 Months,"10,000","Operations Management, Coordination, MS Excel"
Reels Creator,Flosil Group Of Companies,Not hiring,Chennai,1 Month,"2,000","Communication, Teamwork"
Graphic Design,The Cover Up Project,Not hiring,Mumbai                                                            (Hybrid),3 Months,"5,000","Graphic Design, Photoshop, Illustrator"
Product Video Creator,Cryptographic Solutions,Not hiring,Work from home,1 Month,"3,000","Video Editing, Premiere Pro, After Effects"
Client Relationship Executive (Marketing),Mentorrbuddy,Not hiring,Bangalore                                                            (Hybrid),6 Months,"8,000","Marketing Strategy, Communication, Market Research"
Sales,Nikayi Fashion Studio,Not hiring,Mumbai,3 Months,"5,000","Sales, Negotiation, CRM"
Social Media Marketing,Kyoto Creative Co.,Not hiring,Work from home,3 Months,"5,000","Marketing Strategy, Communication, Market Research"
Content Writing,Newsway Private Limited,Not hiring,Work from home,3 Months,"25,000","Content Writing, Editing, SEO"
Lead Generation,Srimply,Not hiring,Work from home,3 Months,"10,000","Communication, Teamwork"
Graphic Design,Dezeno,Not hiring,Work from home,2 Months,"5,000","Graphic Design, Photoshop, Illustrator"
Campus Ambassador,Indian Institute Of Art & Design - IIAD,Not hiring,Work from home,6 Months,Performance Based,"Marketing, Networking, Event Promotion"
Social Media Marketing,Corizo Edu-Tech,Not hiring,Work from home,1 Month," 5,000-15,000 ","Marketing Strategy, Communication, Market Research"
Business Development (Sales),Concort Growth Services,Not hiring,Work from home,2 Months," 5,000-10,000 ","Sales, Negotiation, Business Strategy"
Fashion Design And Merchandising,House Of Deepthi Limited,Not hiring,Mumbai,3 Months," 4,000-7,000 ","Graphic Design, Photoshop, Illustrator"
Social Work,InAmigos Foundation,Actively hiring,Work from home,3 Weeks,Unpaid,"Communication, Teamwork"
Video Editing/Making,Fabricodes,Not hiring,Work from home,4 Months," 5,000-10,000 ","Video Editing, Premiere Pro, After Effects"
Data Entry,Digital Ipsum,Actively hiring,Work from home,3 Months,"4,000","Excel,python,SQL"
Sales,CA-One India,Not hiring,Bangalore,6 Months,"10,000","Sales, Negotiation, CRM"
Manufacturing Engineering,OM Bhakti Samagri Kreations Private Limited,Not hiring,Bangalore,3 Months,"7,000","Communication, Teamwork"
Human Resources (HR),FlexiLoans Technologies Private Limited,Not hiring,Mumbai,3 Months," 10,000-13,000 ","Recruitment, HR Management, Communication"
Supply Chain & Logistics Operations,Nishesh Enterprises,Not hiring,Noida,2 Months," 2,000-4,000 ","Operations Management, Coordination, MS Excel"
Operations,Bohni Tech Private Limited,Not hiring,Work from home,6 Months,"2,500","Operations Management, Coordination, MS Excel"
Architecture,High Rise Architects,Not hiring,Jodhpur,6 Months,"6,000","AutoCAD, Architecture Design, 3D Modeling"
Social Media Marketing,36 SKILLS,Not hiring,Work from home,3 Months,"5,000","Marketing Strategy, Communication, Market Research"
Recruitment,Talent500,Not hiring,Bangalore,3 Months,"10,000","Communication, Teamwork"
Customer Service/Customer Support,Beeglee,Not hiring,Delhi,3 Months," 7,000-12,000 ","Communication, Teamwork"
Operations,OnGrid,Not hiring,Gurgaon,3 Months," 10,000-15,000 ","Operations Management, Coordination, MS Excel"
Reactjs Development,FynTune Solution Private Limited,Actively hiring,"Thane, Navi Mumbai",6 Months,"12,000","React,javaScript,Express"
Business Development (Sales),Do It Zero,Not hiring,Work from home,6 Months," 10,000-15,000 ","Sales, Negotiation, Business Strategy"
Influencer Marketing,Recitstudios,Not hiring,Work from home,6 Months," 4,000-5,000 ","Marketing Strategy, Communication, Market Research"
Content Manager,High Impact Talent,Not hiring,Work from home,1 Month,"2,000","Content Writing, Editing, SEO"
Marketing,Growisto,Not hiring,Mumbai                                                            (Hybrid),3 Months,"9,500","Marketing Strategy, Communication, Market Research"
Social Media Marketing,Manasi Mhaskar,Not hiring,"Delhi, Mumbai",6 Months,"15,000","Marketing Strategy, Communication, Market Research"
Partnership And Strategic Alliances,Transhelp Technologies Private Limited,Not hiring,Bangalore,3 Months,"10,000","Communication, Teamwork"
Web Application Developer,Technetwave Private Limited,Actively hiring,Hyderabad                                                            (Hybrid),6 Months," 5,000  +  Incentives","App Development, Flutter, React Native"
Flutter Development,Adstacks Media,Actively hiring,Gurgaon,3 Months,"12,000","Communication, Teamwork"
Travel Consultant,Nitsa Holidays,Not hiring,"Delhi, Surat, Kalyan, Noida",3 Months,"10,000","Consulting, Analysis, Presentation"
Fashion Design,Sheqe Apparels,Not hiring,Noida,2 Months,"5,000","Graphic Design, Photoshop, Illustrator"
Digital Marketing,Antraweb Technologies Private Limited,Not hiring,Mumbai,3 Months,"8,000","SEO, Google Ads, Social Media Marketing"
Python Development,"Lotus AI (Los Angeles, United States)",Actively hiring,Work from home,3 Months," 8,000-1,00,000 ","Communication, Teamwork"
Graphic Design,Orchid Montessori House,Not hiring,Work from home,3 Months,"2,000","Graphic Design, Photoshop, Illustrator"
Business Development (Sales),Pinacle Web India,Not hiring,"Thane, Navi Mumbai, Mumbai, Vashi",3 Months," 3,000  +  Incentives","Sales, Negotiation, Business Strategy"
Full Stack Development (Headless CMS Strapi),Yoliday LLP,Not hiring,Work from home,6 Months,"10,000","React,Node,Express,Next,SQL"
Digital Marketing,SSM Fashion,Not hiring,Work from home,6 Months,"2,000","SEO, Google Ads, Social Media Marketing"
Copywriting,Credilio Financial Technologies Private Limited,Not hiring,Mumbai,3 Months,"12,000","Communication, Teamwork"
E-Commerce Management,Houseof Owlet,Not hiring,Gurgaon,3 Months,"8,000","Communication, Teamwork"
Graphic Design,Attally Sofper,Not hiring,Work from home,3 Months,"5,000","Graphic Design, Photoshop, Illustrator"
Videography,CreativeBlend Media,Not hiring,Work from home,2 Months,"4,000","Video Editing, Premiere Pro, After Effects"
Graphic Design,The Social Lit,Not hiring,Work from home,2 Months,"8,000","Graphic Design, Photoshop, Illustrator"
Video Editing (Reels),WhaSeLiya,Not hiring,Work from home,2 Months,"2,000","Video Editing, Premiere Pro, After Effects"
Packaging Engineer,PMS INDIA,Not hiring,Chennai,6 Months,"15,000","Communication, Teamwork"
Site Engineering (Civil),VISVA INFRATECH,Not hiring,Work from home,2 Months,"9,000","Communication, Teamwork"
Digital Marketing,Bombay Management Association,Not hiring,Mumbai,6 Months," 7,500-15,000 ","SEO, Google Ads, Social Media Marketing"
Social Media Marketing,Coders Boutique,Not hiring,Work from home,3 Months," 2,000-5,000 ","Marketing Strategy, Communication, Market Research"
Digital Marketing,Intellyze Labs,Not hiring,Kakkanad,6 Months,"2,000","SEO, Google Ads, Social Media Marketing"
HR Consultant,A21ai,Not hiring,Delhi,2 Months,"10,000","Consulting, Analysis, Presentation"
Marketing-Gaming,MB Softech Consultants,Not hiring,Work from home,1 Month,"7,500","Marketing Strategy, Communication, Market Research"
Human Resources (HR),Siana International,Not hiring,Pune,3 Months,"5,000","Recruitment, HR Management, Communication"
Social Media Marketing,Marketing Boutqiue,Not hiring,Work from home,3 Months," 2,000-5,000 ","Marketing Strategy, Communication, Market Research"
Campus Ambassador,One% Dating Club,Not hiring,Work from home,3 Months,Performance Based,"Marketing, Networking, Event Promotion"
Virtual Assistant For Digital Marketing Agency Founder,Bizzaro,Not hiring,Work from home,6 Months,"10,000","SEO, Google Ads, Social Media Marketing"
Web Development,Adivasi Yuva Seva Sangh,Not hiring,Work from home,1 Month,Unpaid,"HTML,css,javascript, react,node,mongoDB"
Founders Office,Change Engine,Not hiring,"Delhi, Gurgaon, Noida                                                            (Hybrid)",3 Months," 15,000-20,000 ","Communication, Teamwork"
Angular.js Development,CodeMasters Studio,Not hiring,Work from home,3 Months,"5,000","Communication, Teamwork"
Data Entry,Bonn Tonn,Actively hiring,Kolkata,3 Months,"8,000","Excel,python,SQL"
Digital Marketing,Point Vision,Not hiring,Bangalore                                                            (Hybrid),3 Months,"2,000","SEO, Google Ads, Social Media Marketing"
Photography,NITCO TILES,Not hiring,"Delhi, Patiala                                                            (Hybrid)",2 Months," 8,000-15,000 ","photography,lightroom,photoshop,image editing"
